,Rank,Team,Wins Overall,Losses Overall,Wins Home,Losses Home,Wins Road,Losses Road,Perc_WinHome,Perc_LossHome,Perc_WinRoad,Perc_LossRoad,Year,difference
29,30,Milwaukee Bucks,15,67,10,31,5,36,24.390243902439025,75.60975609756098,12.195121951219512,87.8048780487805,2014,12.195121951219512
0,1,Golden State Warriors,67,15,39,2,28,13,95.1219512195122,4.878048780487805,68.29268292682927,31.70731707317073,2015,26.829268292682926
1,2,Atlanta Hawks,60,22,35,6,25,16,85.36585365853658,14.634146341463413,60.97560975609756,39.02439024390244,2015,24.390243902439018
2,3,Houston Rockets,56,26,30,11,26,15,73.17073170731707,26.82926829268293,63.41463414634146,36.58536585365854,2015,9.756097560975611
3,4,Los Angeles Clippers,56,26,30,11,26,15,73.17073170731707,26.82926829268293,63.41463414634146,36.58536585365854,2015,9.756097560975611
4,5,Memphis Grizzlies,55,27,31,10,24,17,75.60975609756098,24.390243902439025,58.536585365853654,41.46341463414634,2015,17.07317073170732
5,6,San Antonio Spurs,55,27,33,8,22,19,80.48780487804879,19.51219512195122,53.65853658536586,46.34146341463415,2015,26.829268292682933
6,7,Cleveland Cavaliers,53,29,31,10,22,19,75.60975609756098,24.390243902439025,53.65853658536586,46.34146341463415,2015,21.951219512195117
7,8,Portland Trail Blazers,51,31,32,9,19,22,78.04878048780488,21.951219512195124,46.34146341463415,53.65853658536586,2015,31.707317073170728
8,9,Chicago Bulls,50,32,27,14,23,18,65.85365853658537,34.146341463414636,56.09756097560976,43.90243902439025,2015,9.756097560975611
9,10,Dallas Mavericks,50,32,27,14,23,18,65.85365853658537,34.146341463414636,56.09756097560976,43.90243902439025,2015,9.756097560975611
10,11,Toronto Raptors,49,33,27,14,22,19,65.85365853658537,34.146341463414636,53.65853658536586,46.34146341463415,2015,12.195121951219512
11,12,Washington Wizards,46,36,29,12,17,24,70.73170731707317,29.268292682926827,41.46341463414634,58.536585365853654,2015,29.268292682926834
12,13,New Orleans Pelicans,45,37,28,13,17,24,68.29268292682927,31.70731707317073,41.46341463414634,58.536585365853654,2015,26.829268292682933
13,14,Oklahoma City Thunder,45,37,29,12,16,25,70.73170731707317,29.268292682926827,39.02439024390244,60.97560975609756,2015,31.707317073170735
14,15,Milwaukee Bucks,41,41,23,18,18,23,56.09756097560976,43.90243902439025,43.90243902439025,56.09756097560976,2015,12.195121951219512
15,16,Boston Celtics,40,42,21,20,19,22,51.21951219512195,48.78048780487805,46.34146341463415,53.65853658536586,2015,4.878048780487802
16,17,Phoenix Suns,39,43,22,19,17,24,53.65853658536586,46.34146341463415,41.46341463414634,58.536585365853654,2015,12.19512195121952
17,18,Brooklyn Nets,38,44,19,22,19,22,46.34146341463415,53.65853658536586,46.34146341463415,53.65853658536586,2015,0.0
18,19,Indiana Pacers,38,44,23,18,15,26,56.09756097560976,43.90243902439025,36.58536585365854,63.41463414634146,2015,19.512195121951223
19,20,Utah Jazz,38,44,21,20,17,24,51.21951219512195,48.78048780487805,41.46341463414634,58.536585365853654,2015,9.756097560975611
20,21,Miami Heat,37,45,20,21,17,24,48.78048780487805,51.21951219512195,41.46341463414634,58.536585365853654,2015,7.31707317073171
21,22,Charlotte Hornets,33,49,19,22,14,27,46.34146341463415,53.65853658536586,34.146341463414636,65.85365853658537,2015,12.195121951219512
22,23,Detroit Pistons,32,50,18,23,14,27,43.90243902439025,56.09756097560976,34.146341463414636,65.85365853658537,2015,9.756097560975611
23,24,Denver Nuggets,30,52,19,22,11,30,46.34146341463415,53.65853658536586,26.82926829268293,73.17073170731707,2015,19.51219512195122
24,25,Sacramento Kings,29,53,18,23,11,30,43.90243902439025,56.09756097560976,26.82926829268293,73.17073170731707,2015,17.073170731707318
25,26,Orlando Magic,25,57,13,28,12,29,31.70731707317073,68.29268292682927,29.268292682926827,70.73170731707317,2015,2.4390243902439046
26,27,Los Angeles Lakers,21,61,12,29,9,32,29.268292682926827,70.73170731707317,21.951219512195124,78.04878048780488,2015,7.317073170731703
27,28,Philadelphia 76ers,18,64,12,29,6,35,29.268292682926827,70.73170731707317,14.634146341463413,85.36585365853658,2015,14.634146341463413
28,29,New York Knicks,17,65,10,31,7,34,24.390243902439025,75.60975609756098,17.073170731707318,82.92682926829268,2015,7.317073170731707
29,30,Minnesota Timberwolves,16,66,9,32,7,34,21.951219512195124,78.04878048780488,17.073170731707318,82.92682926829268,2015,4.878048780487806
0,1,Golden State Warriors,73,9,39,2,34,7,95.1219512195122,4.878048780487805,82.92682926829268,17.073170731707318,2016,12.19512195121952
1,2,San Antonio Spurs,67,15,40,1,27,14,97.5609756097561,2.4390243902439024,65.85365853658537,34.146341463414636,2016,31.707317073170728
2,3,Cleveland Cavaliers,57,25,33,8,24,17,80.48780487804879,19.51219512195122,58.536585365853654,41.46341463414634,2016,21.951219512195138
3,4,Toronto Raptors,56,26,32,9,24,17,78.04878048780488,21.951219512195124,58.536585365853654,41.46341463414634,2016,19.512195121951223
4,5,Oklahoma City Thunder,55,27,32,9,23,18,78.04878048780488,21.951219512195124,56.09756097560976,43.90243902439025,2016,21.951219512195117
5,6,Los Angeles Clippers,53,29,29,12,24,17,70.73170731707317,29.268292682926827,58.536585365853654,41.46341463414634,2016,12.19512195121952
6,7,Atlanta Hawks,48,34,27,14,21,20,65.85365853658537,34.146341463414636,51.21951219512195,48.78048780487805,2016,14.63414634146342
7,8,Boston Celtics,48,34,28,13,20,21,68.29268292682927,31.70731707317073,48.78048780487805,51.21951219512195,2016,19.512195121951223
